id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
e380ea402d4c23ff3b883c4ff3bd7ccc,Knowit Poland Sp. z o.o.,100.0,Warszawa,Java,senior,,,15120.0,23520.0
567a80be690f0bddb9e6740119dee0fd,Knowit Poland Sp. z o.o.,100.0,Remote,C#,mid,7000.0,13000.0,12600.0,16800.0
6a4f0ca73486ca0937bb0f5daca8811b,Knowit Poland Sp. z o.o.,100.0,Łódź,C#,mid,7000.0,13000.0,12600.0,16800.0
ff1ec2931ddf258f34999bab51eaf532,Knowit Poland Sp. z o.o.,100.0,Warszawa,C#,mid,7000.0,13000.0,12600.0,16800.0
0193c6edcf0e6ef4f219ab84a3d9e51d,Knowit Poland Sp. z o.o.,100.0,Remote,Java,senior,11000.0,16000.0,,
f276ff3177f8455f59d2f4405beecd18,Knowit Poland Sp. z o.o.,100.0,Łódź,Java,senior,11000.0,16000.0,,
571238f360ed2cc3cfdd0b0939a94234,Knowit Poland Sp. z o.o.,100.0,Warszawa,Java,senior,11000.0,16000.0,,
b16eeee82b3e1045f5111012dfabcb47,Knowit Poland Sp. z o.o.,100.0,Remote,Java,mid,10000.0,16000.0,15120.0,20160.0
4128dc9c652e7f7948326e1c1d779bb1,Knowit Poland Sp. z o.o.,100.0,Łódź,Java,mid,10000.0,16000.0,15120.0,20160.0
45b6054ef49576ec7c53a0098fcf77df,Knowit Poland Sp. z o.o.,100.0,Warszawa,Java,mid,10000.0,16000.0,15120.0,20160.0
9654dd5cc80cdd7767c939ed32934d9a,Knowit Poland Sp. z o.o.,100.0,Remote,C#,mid,,,21000.0,25200.0
b91de1a64b1581e3b8bb5500a4508fac,Knowit Poland Sp. z o.o.,100.0,Warszawa,C#,mid,,,21000.0,25200.0
858fdb168b231893a949328f2dc33f6f,Knowit Poland Sp. z o.o.,100.0,Łódź,C#,mid,,,21000.0,25200.0
4cd170672d2e2eb65737448615d7a9fb,Knowit Poland Sp. z o.o.,100.0,Remote,C/C++,senior,,,15120.0,23520.0
8af36f4b4d8f3e8860b9b2dc8086a33d,Knowit Poland Sp. z o.o.,100.0,Łódź,C/C++,senior,,,15120.0,23520.0
eb6811d33f9fde20ac290053fcd9b205,Knowit Poland Sp. z o.o.,100.0,Warszawa,C/C++,senior,,,15120.0,23520.0
85f1bc6ef9829ee82f581ebe388e6140,SoftServe Poland,100.0,Remote,Python,senior,,,21000.0,27000.0
fd56b7ee9c04da2a3a2f573e66a68ce5,SoftServe Poland,100.0,Wrocław,Python,senior,,,21000.0,27000.0
f8222d6600f14513739e0c1b0c77b567,SoftServe Poland,100.0,Remote,Python,senior,,,20000.0,30000.0
c96b5b563a3f77c4606a5caa6ea4a3e7,SoftServe Poland,100.0,Wrocław,Python,senior,,,20000.0,30000.0
8a62ef4322a6b028b72e1d4f8457558f,SoftServe Poland,100.0,Remote,Python,senior,23000.0,30000.0,25500.0,33300.0
f47aa91331299011b27a45ded802f45e,SoftServe Poland,100.0,Wrocław,Python,senior,23000.0,30000.0,25500.0,33300.0
fc1c8108ffe7fd085969f8c8fed6eb59,SoftServe Poland,100.0,Remote,Mobile,senior,,,19000.0,26000.0
28bd6e22072381690d3e713ad0fdebad,SoftServe Poland,100.0,Wrocław,Mobile,senior,,,19000.0,26000.0
da0721ff666d23831499c429f22b1de3,SoftServe Poland,100.0,Wrocław,C#,senior,,,19000.0,25000.0
7621ff307c9cc65453385988b272a2cd,SoftServe Poland,100.0,Remote,C/C++,senior,18000.0,26000.0,19000.0,28000.0
33a1f33085d7268ee09ff36dc87c99ae,SoftServe Poland,100.0,Wrocław,C/C++,senior,18000.0,26000.0,19000.0,28000.0
a08c788f3894c312ab761dfc92004570,SoftServe Poland,100.0,Remote,Python,senior,21000.0,27000.0,30000.0,34000.0
d408a2e351df9fe701cf0403054c165f,SoftServe Poland,100.0,Wrocław,Python,senior,21000.0,27000.0,30000.0,34000.0
baeafd0524f0a318c203e76702072dd0,SoftServe Poland,100.0,Remote,Mobile,senior,,,20000.0,25000.0
6069ca46cfe989b970db468417bf7573,SoftServe Poland,100.0,Wrocław,Mobile,senior,,,20000.0,25000.0
a4eafe227737e2e39aa6228a69b32789,SoftServe Poland,100.0,Remote,Python,expert,,,28000.0,34000.0
7651a9db139de4f2369eaf0ba80b4e38,SoftServe Poland,100.0,Wrocław,Python,expert,,,28000.0,34000.0
57f65a27ac2f7345243a6373c9664170,N-iX,1000.0,Remote,Java,mid,,,17440.0,21800.0
d84b2724fe87d8119b7d3228fdbe6ae7,N-iX,1000.0,Kraków,Java,mid,,,17440.0,21800.0
1b7171bc11125e03113fc091cb0640b8,N-iX,1000.0,Wrocław,Java,mid,,,17440.0,21800.0
84a9ac6519a94a043325e92cf1713d56,N-iX,1000.0,Remote,Golang,senior,,,24852.0,30520.0
f62acb14591f0d87225a171b158bad70,N-iX,1000.0,Kraków,Golang,senior,,,24852.0,30520.0
9f75f07641aea253b747d293242a497c,N-iX,1000.0,Remote,C/C++,senior,19184.0,23544.0,21800.0,27468.0
4bb076375d6f9ac43bf188e0914a8e66,N-iX,1000.0,Kraków,C/C++,senior,19184.0,23544.0,21800.0,27468.0
64bd0801eeb4476ad85af0cd7640b965,N-iX,1000.0,Wrocław,C/C++,senior,19184.0,23544.0,21800.0,27468.0
176d63b932b1b7364e5db42d78ef9c7a,N-iX,1000.0,Warszawa,C/C++,senior,19184.0,23544.0,21800.0,27468.0
e1d5e39de6b2d450a57ca3f51e9d9333,N-iX,1000.0,Remote,Java,senior,19090.0,24090.0,23105.0,28105.0
131cde9408e1092dfc0b4daec45b3fea,N-iX,1000.0,Kraków,Java,senior,19090.0,24090.0,23105.0,28105.0
0a8d0265e66efc3e07dffff3ab0a3291,N-iX,1000.0,Wrocław,Java,senior,19090.0,24090.0,23105.0,28105.0
46ed898f2c124f7fd714c2e7311f9a0e,N-iX,1000.0,Remote,C#,senior,21800.0,23108.0,25724.0,27032.0
aff0d170b8c0e1eaa9682012c366aa43,N-iX,1000.0,Kraków,C#,senior,21800.0,23108.0,25724.0,27032.0
3971be20661a1e1d96d39b3c666345f6,N-iX,1000.0,Wrocław,C#,senior,21800.0,23108.0,25724.0,27032.0
c09acecd3f0d9d816aece7d3745cece4,N-iX,1000.0,Warszawa,C#,senior,21800.0,23108.0,25724.0,27032.0
de4de324df6c48618ae1a1e017774320,N-iX,1000.0,Remote,Python,senior,13080.0,22672.0,15696.0,26160.0
42c56fd4ba03ca20f14cdf0e2c99b620,N-iX,1000.0,Kraków,Python,senior,13080.0,22672.0,15696.0,26160.0
aea5b6ea69f4986389cd2f7ca1d71fc3,N-iX,1000.0,Remote,C#,senior,21800.0,23544.0,25724.0,29648.0
1fded8a0ac21763b05bc6864230e7951,N-iX,1000.0,Kraków,C#,senior,21800.0,23544.0,25724.0,29648.0
a7d597588070d60a07ea36dd09c4cc13,N-iX,1000.0,Wrocław,C#,senior,21800.0,23544.0,25724.0,29648.0
9aee7e8abddf1499f8721c61c8250fc6,N-iX,1000.0,Warszawa,C#,senior,21800.0,23544.0,25724.0,29648.0
8756f136bbe23fb1a72df1aa8c2f1302,N-iX,1000.0,Remote,Java,expert,27904.0,30956.0,29648.0,34880.0
4ee07db1dbdf0c177d6f7a756d9b2ba9,N-iX,1000.0,Kraków,Java,expert,27904.0,30956.0,29648.0,34880.0
c36a69766469bf6c3d1804ff85cc3065,N-iX,1000.0,Wrocław,Java,expert,27904.0,30956.0,29648.0,34880.0
08cf879cd68637f300e38dc169c25299,HARMAN Connected Services,100.0,Remote,C/C++,senior,11700.0,19000.0,15600.0,25300.0
ec69bde1c547b29f935ad2fcda60cd01,HARMAN Connected Services,100.0,Łódź,C/C++,senior,11700.0,19000.0,15600.0,25300.0
88d386336206594f993adf19682fb8b1,HARMAN Connected Services,100.0,Remote,C#,senior,14000.0,17500.0,20000.0,27000.0
9e62c7b6a21f9d60e5bb0ccf837802b9,HARMAN Connected Services,100.0,Łódź,C#,senior,14000.0,17500.0,20000.0,27000.0
c6f9725ce48c430d63e54da21bb7bffe,HARMAN Connected Services,100.0,Remote,C/C++,senior,16000.0,28000.0,21300.0,37300.0
60cccb69404d16341481d86c450516d9,HARMAN Connected Services,100.0,Łódź,C/C++,senior,16000.0,28000.0,21300.0,37300.0
a5390c1bfe21b43cde4e0b865c90189c,HARMAN Connected Services,100.0,Remote,C/C++,expert,16000.0,28000.0,21300.0,37300.0
070a1b2bfe12c2a3f1885b2947c11710,HARMAN Connected Services,100.0,Łódź,C/C++,expert,16000.0,28000.0,21300.0,37300.0
13b1ff31f7c0247f5c46a2fcb3b45aba,HSBC Technology Poland,1000.0,Kraków,Java,senior,25000.0,29000.0,,
91d6efc489ae8aeead5b6237f7983230,HSBC Technology Poland,1000.0,Kraków,Java,senior,20000.0,23000.0,,
968acc2fbd19ce01f760c8553f10a07d,HSBC Technology Poland,1000.0,Kraków,Scala,senior,21000.0,24000.0,,
dd4377053cc2afe4062f0942f827b0e7,Objectivity - part of Accenture,1000.0,Remote,C#,senior,12500.0,16000.0,20160.0,25200.0
8228f2cf36b4bde029baff308e668e13,Objectivity - part of Accenture,1000.0,Wrocław,C#,senior,12500.0,16000.0,20160.0,25200.0
52c3e2ab5bf68f80cfc5b89d59567697,Objectivity - part of Accenture,1000.0,Gdańsk,C#,senior,12500.0,16000.0,20160.0,25200.0
67a5e57189e52ade9f967828b715fbec,Objectivity - part of Accenture,1000.0,Remote,Python,senior,16000.0,22500.0,25200.0,33600.0
0e60efee9260dfb5c1b36ccf17062de4,Objectivity - part of Accenture,1000.0,Wrocław,Python,senior,16000.0,22500.0,25200.0,33600.0
7f5abd85139e9fa58b3f8a0a2df039c6,Objectivity - part of Accenture,1000.0,Gdańsk,Python,senior,16000.0,22500.0,25200.0,33600.0
c1181def9e706f14157d0a99cc40f750,Objectivity - part of Accenture,1000.0,Remote,Python,mid,10500.0,16500.0,16800.0,25200.0
083167846e21806e1dd91ecfa9cf732c,Objectivity - part of Accenture,1000.0,Wrocław,Python,mid,10500.0,16500.0,16800.0,25200.0
58c6fc1fd9362793a2151d20d888c796,Objectivity - part of Accenture,1000.0,Gdańsk,Python,mid,10500.0,16500.0,16800.0,25200.0
0e21e42ebd386d7f3a7553a907393658,Objectivity - part of Accenture,1000.0,Remote,JavaScript,senior,10000.0,17500.0,15960.0,26880.0
d371fdcf3361217f1f6f019d76db75cb,Objectivity - part of Accenture,1000.0,Gdańsk,JavaScript,senior,10000.0,17500.0,15960.0,26880.0
7f6926384ed2f642f4473bcd259acfe7,Objectivity - part of Accenture,1000.0,Wrocław,JavaScript,senior,10000.0,17500.0,15960.0,26880.0
63b98c866ba6ccf2469e9a20d4c76117,Raiffeisen Tech,10.0,Warszawa,Python,senior,25000.0,35000.0,25000.0,35000.0
44c38d9188767175773097c916c6036f,Raiffeisen Tech,10.0,Warszawa,JavaScript,mid,14500.0,21000.0,14500.0,21000.0
2ff8b47160a81eb18fe0ae4b1f554ace,Raiffeisen Tech,10.0,Remote,Java,senior,22000.0,30000.0,22000.0,30000.0
55cb28aac124aeae1d35c15f6b7c35d5,Raiffeisen Tech,10.0,Warszawa,Java,senior,22000.0,30000.0,22000.0,30000.0
8b3162d967c847fc3c0211f8f450b1ca,Appfire,1000.0,Remote,Java,senior,17000.0,24500.0,,
102ccbf32f40a63588902af35998f658,Appfire,1000.0,Gdańsk,Java,senior,17000.0,24500.0,,
8e9c2cf43e4c6cd79de4c5c62f230b6f,Appfire,1000.0,Remote,JavaScript,mid,13000.0,20000.0,,
f91a2d56f187719494456a9fa56b9e9c,Appfire,1000.0,Gdańsk,JavaScript,mid,13000.0,20000.0,,
06a02c53059d1cb7d45aeea36063a52b,Appfire,1000.0,Warszawa,JavaScript,mid,13000.0,20000.0,,
efa5304ea3342c47651d813447e13a70,Appfire,1000.0,Remote,Java,mid,13000.0,20000.0,,
a44b8787d7026b4fa0d92b21cd1f0b1b,Appfire,1000.0,Warszawa,Java,mid,13000.0,20000.0,,
15aa382898ee4bbda4f371755a1c1422,Appfire,1000.0,Łódź,Java,mid,13000.0,20000.0,,
6a9ec278dc48c7495c6eb2685de10598,Appfire,1000.0,Katowice,Java,mid,13000.0,20000.0,,
cd04530c36a656402a511185b3cc7cf0,Appfire,1000.0,Gdańsk,Java,mid,13000.0,20000.0,,
84b306c8787453efc28660644d8266c1,Appfire,1000.0,Kraków,Java,mid,13000.0,20000.0,,
50086780e53fa1f6aebb48c3667bc9fc,Appfire,1000.0,Poznań,Java,mid,13000.0,20000.0,,
7730bd4f596447a55a5c03f97168b041,Appfire,1000.0,Remote,JavaScript,mid,16000.0,20000.0,,
2befac021806929ee31293ad0144350c,Appfire,1000.0,Warszawa,JavaScript,mid,16000.0,20000.0,,
66903662859d89ff3092a6cece68c4ab,Appfire,1000.0,Kraków,JavaScript,mid,16000.0,20000.0,,
c87bee89acf308baf1f7cf725c2217a0,Appfire,1000.0,Katowice,JavaScript,mid,16000.0,20000.0,,
46a816564fae5e2c94189d5b3f830a57,Appfire,1000.0,Wrocław,JavaScript,mid,16000.0,20000.0,,
b93300c3ff49401cdce4648f2aad7339,Appfire,1000.0,Gdańsk,JavaScript,mid,16000.0,20000.0,,
e7f26b15e97ef63a07231798c3bac808,Appfire,1000.0,Poznań,JavaScript,mid,16000.0,20000.0,,
a349ecb76badfbc4d8ad040760678077,Appfire,1000.0,Remote,JavaScript,senior,23500.0,35000.0,,
b89c2fe61e71cad682ccb2d85fbdbb37,Appfire,1000.0,Gdańsk,JavaScript,senior,23500.0,35000.0,,
70e3443a794a99717cd9514ab5d69534,Appfire,1000.0,Remote,JavaScript,senior,17000.0,24500.0,,
56e81292c2880d4536ed8ebad6a70dd1,Appfire,1000.0,Gdańsk,JavaScript,senior,17000.0,24500.0,,
eae69766f664e7741c8fad9e2d99dc57,Appfire,1000.0,Warszawa,JavaScript,senior,17000.0,24500.0,,
3b80939b3773de316aca714dc0612609,Sopra Steria,1000.0,Remote,PHP,mid,10000.0,15000.0,16800.0,23520.0
1bbdbcc83554c84150c2ca5854b8a982,Sopra Steria,1000.0,Katowice,PHP,mid,10000.0,15000.0,16800.0,23520.0
efb7a1bea756253fd27d5cc7e6c5b0f0,Sopra Steria,1000.0,Remote,C/C++,junior,8000.0,11000.0,,
9659ebf8296c5d22be07dec47d19f074,Sopra Steria,1000.0,Katowice,C/C++,junior,8000.0,11000.0,,
4c9426b327f8cd9177519ff45b959cd5,Sopra Steria,1000.0,Katowice,Java,expert,18000.0,22000.0,21000.0,28000.0
ff303df38293e94a9dd3ca55424ff71c,Sopra Steria,1000.0,Katowice,Java,senior,12000.0,18000.0,20000.0,24000.0
5e94dd9fd41a6ed02798e70367c77928,Sopra Steria,1000.0,Katowice,C#,senior,12000.0,18000.0,16000.0,24000.0
10d1ccfffc14989a97c9f3b3e62657d5,Sopra Steria,1000.0,Katowice,JavaScript,senior,12000.0,18000.0,16000.0,24000.0
c7e1cd6bdda0c10705bfb2cb7af0eb1a,Sopra Steria,1000.0,Remote,C/C++,senior,14000.0,17000.0,,
0d7d6a5608f870772ea6d11539c1ddf5,Sopra Steria,1000.0,Katowice,C/C++,senior,14000.0,17000.0,,
10398296a7e2119a6220fd77cac44981,Box,1000.0,Warszawa,Python,mid,22000.0,26000.0,,
2046efa0f724d597051462bafd67e2a5,Box,1000.0,Warszawa,JavaScript,senior,30000.0,35000.0,,
ebd84a910aeb2fa6bbc7c15dccb39f9c,Box,1000.0,Warszawa,JavaScript,mid,13500.0,17000.0,,
